date;time;temp@3.5;umid@3.5
2015-06-23;20:48;25.16;37.32
2015-06-23;21:00;24.83;37.66
2015-06-23;21:06;24.83;37.66
2015-06-23;21:12;24.35;40.18
2015-06-23;21:18;24.51;40.265
2015-06-23;21:24;25.32;40.44
2015-06-23;21:30;24.19;40.7
2015-06-23;21:36;24.51;40.525
2015-06-23;21:42;24.35;40.61
2015-06-23;21:48;24.51;38.01
2015-06-23;22:00;24.835;40.695
2015-06-23;22:06;24.35;40.695
2015-06-23;22:12;24.995;40.525
2015-06-23;22:18;24.35;40.87
2015-06-23;22:24;24.67;40.7
2015-06-23;22:30;24.19;40.7
2015-06-23;22:36;24.35;40.785
2015-06-23;22:42;24.19;40.785
2015-06-23;23:00;24.19;40.7
2015-06-23;23:06;24.35;40.61
2015-06-23;23:12;24.19;40.525
2015-06-23;23:18;24.19;40.265
2015-06-23;23:24;24.19;40.35
2015-06-23;23:36;24.19;40.265
2015-06-23;23:42;23.87;37.84
2015-06-23;23:54;23.87;41.83
2015-06-24;00:00;24.03;39.92
2015-06-24;00:06;24.03;39.57
2015-06-24;00:12;23.87;39.485
2015-06-24;00:18;24.19;41.83
2015-06-24;00:24;24.19;41.65
2015-06-24;00:30;23.87;40.96
2015-06-24;00:36;24.03;37.665
2015-06-24;00:42;24.19;36.795
2015-06-24;00:48;23.865;37.58
2015-06-24;00:54;23.22;40.44
2015-06-24;01:00;23.87;38.185
2015-06-24;01:06;23.87;38.965
2015-06-24;01:12;23.705;39.31
2015-06-24;01:18;25.155;40.095
2015-06-24;01:24;23.87;40.265
2015-06-24;01:30;23.87;39.22
2015-06-24;01:36;23.87;39.05
2015-06-24;01:42;23.87;41.305
2015-06-24;01:48;23.865;41.74
2015-06-24;01:54;23.705;41.565
2015-06-24;02:00;23.705;42.085
2015-06-24;02:06;23.705;41.915
2015-06-24;02:12;24.025;42.175
2015-06-24;02:18;23.87;42.345
2015-06-24;02:24;23.87;42.085
2015-06-24;02:30;23.87;44.25
2015-06-24;02:48;23.54;44.25
2015-06-24;02:54;23.54;44.08
2015-06-24;03:00;23.705;42.0
2015-06-24;03:06;24.025;42.175
2015-06-24;03:12;23.54;43.91
2015-06-24;03:18;23.54;43.91
2015-06-24;03:24;23.87;43.91
2015-06-24;03:30;23.54;44.08
2015-06-24;03:48;23.54;41.565
2015-06-24;03:54;23.54;41.22
2015-06-24;04:00;27.41;39.92
2015-06-24;04:06;23.54;41.565
2015-06-24;04:12;23.54;41.305
2015-06-24;04:18;23.865;41.48
2015-06-24;04:24;23.54;41.48
2015-06-24;04:30;23.54;41.395
2015-06-24;04:36;23.54;41.395
2015-06-24;04:42;25.96;41.305
2015-06-24;04:48;23.54;41.22
2015-06-24;04:54;23.54;41.57
2015-06-24;05:00;23.54;39.4
2015-06-24;05:06;23.54;39.4
2015-06-24;05:12;23.705;41.39
2015-06-24;05:18;23.705;41.48
2015-06-24;05:30;23.54;41.22
2015-06-24;05:36;23.38;41.045
2015-06-24;05:42;23.38;41.39
2015-06-24;05:48;23.54;41.22
2015-06-24;05:54;23.865;41.305
2015-06-24;06:12;23.54;42.69
2015-06-24;06:18;23.54;43.56
2015-06-24;06:24;23.22;41.305
2015-06-24;06:30;23.705;41.48
2015-06-24;06:36;23.38;41.565
2015-06-24;06:42;23.545;41.65
2015-06-24;06:48;23.22;41.48
2015-06-24;06:54;23.22;41.74
2015-06-24;07:00;23.22;39.75
2015-06-24;07:06;23.545;41.565
2015-06-24;07:12;23.54;41.57
2015-06-24;07:18;23.865;41.65
2015-06-24;07:24;23.38;41.39
2015-06-24;07:30;23.38;41.825
2015-06-24;07:36;23.22;41.305
2015-06-24;07:42;23.22;41.48
2015-06-24;07:48;23.22;39.75
2015-06-24;07:54;23.22;39.75
2015-06-24;08:00;23.54;43.04
2015-06-24;08:06;23.54;43.04
2015-06-24;08:12;23.22;43.39
2015-06-24;08:18;23.22;39.57
2015-06-24;08:24;23.54;39.57
2015-06-24;08:30;23.705;40.96
2015-06-24;08:36;24.19;38.53
2015-06-24;08:42;24.025;40.785
2015-06-24;08:48;23.705;40.44
2015-06-24;08:54;23.87;39.83
2015-06-24;09:00;23.87;39.83
2015-06-24;09:06;23.705;40.09
2015-06-24;09:12;23.87;37.66
2015-06-24;09:18;23.87;37.49
2015-06-24;09:24;23.705;39.57
2015-06-24;09:30;24.03;39.225
2015-06-24;09:36;23.87;38.615
2015-06-24;09:42;24.185;38.535
2015-06-24;09:48;24.025;38.36
2015-06-24;10:00;24.19;38.705
2015-06-24;10:06;23.865;38.27
2015-06-24;10:12;24.35;38.185
2015-06-24;10:18;23.87;38.01
2015-06-24;10:24;24.03;37.665
2015-06-25;12:00;24.67;32.375
2015-06-25;12:06;25.315;32.635
2015-06-25;12:12;24.995;32.895
2015-06-25;12:18;24.835;32.98
2015-06-25;12:24;25.155;32.635
2015-06-25;12:30;25.16;30.55
2015-06-25;12:36;25.48;31.07
2015-06-25;12:42;24.835;32.635
2015-06-25;12:48;24.83;34.72
2015-06-25;13:00;25.48;31.42
2015-06-25;13:06;24.83;31.25
2015-06-25;13:12;24.995;34.63
2015-06-25;13:18;24.995;33.675
2015-06-25;13:24;25.155;33.765
2015-06-25;13:30;24.67;34.195
2015-06-25;13:36;24.67;35.235
2015-06-25;13:42;24.51;38.01
2015-06-25;14:00;25.8;34.72
2015-06-25;14:06;25.48;33.68
2015-06-25;14:12;25.48;29.51
2015-06-25;14:18;25.8;30.03
2015-06-25;14:24;25.16;30.73
2015-06-25;14:30;25.16;33.675
2015-06-25;14:36;25.16;34.28
2015-06-25;14:42;24.67;34.54
2015-06-25;15:00;24.51;38.01
2015-06-25;15:06;24.51;37.49
2015-06-25;15:12;24.995;35.06
